displacement,horsepower,weight,acceleration,mpg
307,130,3504,12,18
350,165,3693,11.5,15
318,150,3436,11,18
304,150,3433,12,16
302,140,3449,10.5,17
429,198,4341,10,15
454,220,4354,9,14
440,215,4312,8.5,14
455,225,4425,10,14
390,190,3850,8.5,15
383,170,3563,10,15
340,160,3609,8,14
400,150,3761,9.5,15
455,225,3086,10,14
113,95,2372,15,24
198,95,2833,15.5,22
199,97,2774,15.5,18
200,85,2587,16,21
97,88,2130,14.5,27
97,46,1835,20.5,26
110,87,2672,17.5,25
107,90,2430,14.5,24
104,95,2375,17.5,25
121,113,2234,12.5,26
199,90,2648,15,21
360,215,4615,14,10
307,200,4376,15,10
318,210,4382,13.5,11
304,193,4732,18.5,9
97,88,2130,14.5,27
140,90,2264,15.5,28
113,95,2228,14,25
232,100,2634,13,19
225,105,3439,15.5,16
250,100,3329,15.5,17
250,88,3302,15.5,19
232,100,3288,15.5,18
350,165,4209,12,14
400,175,4464,11.5,14
351,153,4154,13.5,14
318,150,4096,13,14
383,180,4955,11.5,12
400,170,4746,12,13
400,175,5140,12,13
258,110,2962,13.5,18
140,72,2408,19,22
250,100,3282,15,19
250,88,3139,14.5,18
122,86,2220,14,23
116,90,2123,14,28
79,70,2074,19.5,30
88,76,2065,14.5,30
71,65,1773,19,31
72,69,1613,18,35
97,60,1834,19,27
91,70,1955,20.5,26
113,95,2278,15.5,24
97.5,80,2126,17,25
97,54,2254,23.5,23
140,90,2408,19.5,20
122,86,2226,16.5,21
350,165,4274,12,13
400,175,4385,12,14
318,150,4135,13.5,15
351,153,4129,13,14
304,150,3672,11.5,17
429,208,4633,11,11
350,155,4502,13.5,13
350,160,4456,13.5,12
400,190,4422,12.5,13
70,97,2330,13.5,19
304,150,3892,12.5,15
307,130,4098,14,13
302,140,4294,16,13
318,150,4077,14,14
121,112,2933,14.5,18
121,76,2511,18,22
120,87,2979,19.5,21
96,69,2189,18,26
122,86,2395,16,22
97,92,2288,17,28
120,97,2506,14.5,23
98,80,2164,15,28
97,88,2100,16.5,27
350,175,4100,13,13
304,150,3672,11.5,14
350,145,3988,13,13
302,137,4042,14.5,14
318,150,3777,12.5,15
429,198,4952,11.5,12
400,150,4464,12,13
351,158,4363,13,13
318,150,4237,14.5,14
440,215,4735,11,13
455,225,4951,11,12
360,175,3821,11,13
225,105,3121,16.5,18
250,100,3278,18,16
232,100,2945,16,18
250,88,3021,16.5,18
198,95,2904,16,23
97,46,1950,21,26
400,150,4997,14,11
400,167,4906,12.5,12
360,170,4654,13,13
350,180,4499,12.5,12
232,100,2789,15,18
97,88,2279,19,20
140,72,2401,19.5,21
108,94,2379,16.5,22
70,90,2124,13.5,18
122,85,2310,18.5,19
155,107,2472,14,21
98,90,2265,15.5,26
350,145,4082,13,15
400,230,4278,9.5,16
68,49,1867,19.5,29
116,75,2158,15.5,24
114,91,2582,14,20
121,112,2868,15.5,19
318,150,3399,11,15
121,110,2660,14,24
156,122,2807,13.5,20
350,180,3664,11,11
198,95,3102,16.5,20
232,100,2901,16,19
250,100,3336,17,15
79,67,1950,19,31
122,80,2451,16.5,26
71,65,1836,21,32
140,75,2542,17,25
250,100,3781,17,16
258,110,3632,18,16
225,105,3613,16.5,18
302,140,4141,14,16
350,150,4699,14.5,13
318,150,4457,13.5,14
302,140,4638,16,14
304,150,4257,15.5,14
98,83,2219,16.5,29
79,67,1963,15.5,26
97,78,2300,14.5,26
76,52,1649,16.5,31
83,61,2003,19,32
90,75,2125,14.5,28
90,75,2108,15.5,24
116,75,2246,14,26
120,97,2489,15,24
108,93,2391,15.5,26
79,67,2000,16,31
225,95,3264,16,19
250,105,3459,16,18
250,72,3432,21,15
250,72,3158,19.5,15
400,170,4668,11.5,16
350,145,4440,14,15
318,150,4498,14.5,16
351,148,4657,13.5,14
231,110,3907,21,17
250,105,3897,18.5,16
258,110,3730,19,15
225,95,3785,19,18
231,110,3039,15,21
262,110,3221,13.5,20
302,129,3169,12,13
97,75,2171,16,29
140,83,2639,17,23
232,100,2914,16,20
140,78,2592,18.5,23
134,96,2702,13.5,24
90,71,2223,16.5,25
119,97,2545,17,24
171,97,2984,14.5,18
90,70,1937,14,29
232,90,3211,17,19
115,95,2694,15,23
120,88,2957,17,23
121,98,2945,14.5,22
121,115,2671,13.5,25
91,53,1795,17.5,33
107,86,2464,15.5,28
116,81,2220,16.9,25
140,92,2572,14.9,25
98,79,2255,17.7,26
101,83,2202,15.3,27
305,140,4215,13,17.5
318,150,4190,13,16
304,120,3962,13.9,15.5
351,152,4215,12.8,14.5
225,100,3233,15.4,22
250,105,3353,14.5,22
200,81,3012,17.6,24
232,90,3085,17.6,22.5
85,52,2035,22.2,29
98,60,2164,22.1,24.5
90,70,1937,14.2,29
91,53,1795,17.4,33
225,100,3651,17.7,20
250,78,3574,21,18
250,110,3645,16.2,18.5
258,95,3193,17.8,17.5
97,71,1825,12.2,29.5
85,70,1990,17,32
97,75,2155,16.4,28
140,72,2565,13.6,26.5
130,102,3150,15.7,20
318,150,3940,13.2,13
120,88,3270,21.9,19
156,108,2930,15.5,19
168,120,3820,16.7,16.5
350,180,4380,12.1,16.5
350,145,4055,12,13
302,130,3870,15,13
318,150,3755,14,13
98,68,2045,18.5,31.5
111,80,2155,14.8,30
79,58,1825,18.6,36
122,96,2300,15.5,25.5
85,70,1945,16.8,33.5
305,145,3880,12.5,17.5
260,110,4060,19,17
318,145,4140,13.7,15.5
302,130,4295,14.9,15
250,110,3520,16.4,17.5
231,105,3425,16.9,20.5
225,100,3630,17.7,19
250,98,3525,19,18.5
400,180,4220,11.1,16
350,170,4165,11.4,15.5
400,190,4325,12.2,15.5
351,149,4335,14.5,16
97,78,1940,14.5,29
151,88,2740,16,24.5
97,75,2265,18.2,26
140,89,2755,15.8,25.5
98,63,2051,17,30.5
98,83,2075,15.9,33.5
97,67,1985,16.4,30
97,78,2190,14.1,30.5
146,97,2815,14.5,22
121,110,2600,12.8,21.5
80,110,2720,13.5,21.5
90,48,1985,21.5,43.1
98,66,1800,14.4,36.1
78,52,1985,19.4,32.8
85,70,2070,18.6,39.4
91,60,1800,16.4,36.1
260,110,3365,15.5,19.9
318,140,3735,13.2,19.4
302,139,3570,12.8,20.2
231,105,3535,19.2,19.2
200,95,3155,18.2,20.5
200,85,2965,15.8,20.2
140,88,2720,15.4,25.1
225,100,3430,17.2,20.5
232,90,3210,17.2,19.4
231,105,3380,15.8,20.6
200,85,3070,16.7,20.8
225,110,3620,18.7,18.6
258,120,3410,15.1,18.1
305,145,3425,13.2,19.2
231,165,3445,13.4,17.7
302,139,3205,11.2,18.1
318,140,4080,13.7,17.5
98,68,2155,16.5,30
134,95,2560,14.2,27.5
119,97,2300,14.7,27.2
105,75,2230,14.5,30.9
134,95,2515,14.8,21.1
156,105,2745,16.7,23.2
151,85,2855,17.6,23.8
119,97,2405,14.9,23.9
131,103,2830,15.9,20.3
163,125,3140,13.6,17
121,115,2795,15.7,21.6
163,133,3410,15.8,16.2
89,71,1990,14.9,31.5
98,68,2135,16.6,29.5
231,115,3245,15.4,21.5
200,85,2990,18.2,19.8
140,88,2890,17.3,22.3
232,90,3265,18.2,20.2
225,110,3360,16.6,20.6
305,130,3840,15.4,17
302,129,3725,13.4,17.6
351,138,3955,13.2,16.5
318,135,3830,15.2,18.2
350,155,4360,14.9,16.9
351,142,4054,14.3,15.5
267,125,3605,15,19.2
360,150,3940,13,18.5
89,71,1925,14,31.9
86,65,1975,15.2,34.1
98,80,1915,14.4,35.7
121,80,2670,15,27.4
183,77,3530,20.1,25.4
350,125,3900,17.4,23
141,71,3190,24.8,27.2
260,90,3420,22.2,23.9
105,70,2200,13.2,34.2
105,70,2150,14.9,34.5
85,65,2020,19.2,31.8
91,69,2130,14.7,37.3
151,90,2670,16,28.4
173,115,2595,11.3,28.8
173,115,2700,12.9,26.8
151,90,2556,13.2,33.5
98,76,2144,14.7,41.5
89,60,1968,18.8,38.1
98,70,2120,15.5,32.1
86,65,2019,16.4,37.2
151,90,2678,16.5,28
140,88,2870,18.1,26.4
151,90,3003,20.1,24.3
225,90,3381,18.7,19.1
97,78,2188,15.8,34.3
134,90,2711,15.5,29.8
120,75,2542,17.5,31.3
119,92,2434,15,37
108,75,2265,15.2,32.2
86,65,2110,17.9,46.6
156,105,2800,14.4,27.9
85,65,2110,19.2,40.8
90,48,2085,21.7,44.3
90,48,2335,23.7,43.4
121,67,2950,19.9,36.4
146,67,3250,21.8,30
91,67,1850,13.8,44.6
97,67,2145,18,33.8
89,62,1845,15.3,29.8
168,132,2910,11.4,32.7
70,100,2420,12.5,23.7
122,88,2500,15.1,35
107,72,2290,17,32.4
135,84,2490,15.7,27.2
151,84,2635,16.4,26.6
156,92,2620,14.4,25.8
173,110,2725,12.6,23.5
135,84,2385,12.9,30
79,58,1755,16.9,39.1
86,64,1875,16.4,39
81,60,1760,16.1,35.1
97,67,2065,17.8,32.3
85,65,1975,19.4,37
89,62,2050,17.3,37.7
91,68,1985,16,34.1
105,63,2215,14.9,34.7
98,65,2045,16.2,34.4
98,65,2380,20.7,29.9
105,74,2190,14.2,33
107,75,2210,14.4,33.7
108,75,2350,16.8,32.4
119,100,2615,14.8,32.9
120,74,2635,18.3,31.6
141,80,3230,20.4,28.1
145,76,3160,19.6,30.7
168,116,2900,12.6,25.4
146,120,2930,13.8,24.2
231,110,3415,15.8,22.4
350,105,3725,19,26.6
200,88,3060,17.1,20.2
225,85,3465,16.6,17.6
112,88,2605,19.6,28
112,88,2640,18.6,27
112,88,2395,18,34
112,85,2575,16.2,31
135,84,2525,16,29
151,90,2735,18,27
140,92,2865,16.4,24
105,74,1980,15.3,36
91,68,2025,18.2,37
91,68,1970,17.6,31
105,63,2125,14.7,38
98,70,2125,17.3,36
120,88,2160,14.5,36
107,75,2205,14.5,36
108,70,2245,16.9,34
91,67,1965,15,38
91,67,1965,15.7,32
91,67,1995,16.2,38
181,110,2945,16.4,25
262,85,3015,17,38
156,92,2585,14.5,26
232,112,2835,14.7,22
144,96,2665,13.9,32
135,84,2370,13,36
151,90,2950,17.3,27
140,86,2790,15.6,27
97,52,2130,24.6,44
135,84,2295,11.6,32
120,79,2625,18.6,28
119,82,2720,19.4,31
